i,P[|B_i| >= 1]
222,0.511889999999999956159513203601818531751632690429687500000000
223,0.508569999999999966533437145699281245470046997070312500000000
224,0.505140000000000033431035717512713745236396789550781250000000
225,0.501650000000000040323300254385685548186302185058593750000000
226,0.498300000000000020694557179012917913496494293212890625000000
227,0.494920000000000026574298317427746951580047607421875000000000
228,0.491229999999999999982236431605997495353221893310546875000000
229,0.487630000000000007887024366937112063169479370117187500000000
230,0.484159999999999979269915684199077077209949493408203125000000
231,0.480509999999999992681409821670968085527420043945312500000000
232,0.477329999999999976534326151522691361606121063232421875000000
233,0.474169999999999980389020493021234869956970214843750000000000
234,0.470889999999999975255349227154511027038097381591796875000000
235,0.467310000000000003161915174132445827126502990722656250000000
236,0.463820000000000010054179711005417630076408386230468750000000
237,0.460469999999999990425436635632649995386600494384765625000000
238,0.457019999999999981810105964541435241699218750000000000000000
239,0.453730000000000022186696924109128303825855255126953125000000
240,0.450680000000000025028867867149529047310352325439453125000000
241,0.447730000000000016857626405908376909792423248291015625000000
242,0.444400000000000017230661342182429507374763488769531250000000
243,0.440840000000000009627854069549357518553733825683593750000000
244,0.437699999999999977973175191436894237995147705078125000000000
245,0.434659999999999990816235140300705097615718841552734375000000
246,0.431400000000000005684341886080801486968994140625000000000000
247,0.428310000000000024034108037085388787090778350830078125000000
248,0.425219999999999986872722956832149066030979156494140625000000
249,0.422250000000000014210854715202003717422485351562500000000000
250,0.419279999999999986037835242314031347632408142089843750000000
251,0.415999999999999980904163976447307504713535308837890625000000
252,0.413250000000000006217248937900876626372337341308593750000000
253,0.409959999999999991082688666210742667317390441894531250000000
254,0.406880000000000019433343823038740083575248718261718750000000
255,0.404110000000000024744650772845488972961902618408203125000000
256,0.401040000000000007585043704239069484174251556396484375000000
257,0.398399999999999976374454035976668819785118103027343750000000
258,0.395699999999999996180832795289461500942707061767578125000000
259,0.392500000000000015543122344752191565930843353271484375000000
260,0.389500000000000012878587085651815868914127349853515625000000
261,0.386550000000000004707345624410663731396198272705078125000000
262,0.383649999999999991029397961028735153377056121826171875000000
263,0.380630000000000023874235921539366245269775390625000000000000
264,0.378209999999999990638599456360680051147937774658203125000000
265,0.375300000000000022470914018413168378174304962158203125000000
266,0.372379999999999988791188343384419567883014678955078125000000
267,0.369609999999999994102495293191168457269668579101562500000000
268,0.367159999999999986375343041800078935921192169189453125000000
269,0.364149999999999973709918776876293122768402099609375000000000
270,0.361190000000000011048939541069557890295982360839843750000000
271,0.358449999999999990851762277088710106909275054931640625000000
272,0.356069999999999997619681835203664377331733703613281250000000
273,0.353339999999999987423393577046226710081100463867187500000000
274,0.350849999999999995203836533619323745369911193847656250000000
275,0.348229999999999983995024877003743313252925872802734375000000
276,0.345750000000000001776356839400250464677810668945312500000000
