n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
188,2,119.046400,24.319800,8176.074400,68.953600,54.896200,0.633226,0.129361,0.231328,0.366774,0.292001
189,2,119.709900,24.410600,8256.859900,69.290100,55.203700,0.633386,0.129157,0.231149,0.366614,0.292083
190,2,120.361000,24.496300,8342.750700,69.639000,55.423400,0.633479,0.128928,0.231101,0.366521,0.291702
191,2,120.919100,24.648500,8441.183600,70.080900,55.759300,0.633084,0.129050,0.231386,0.366916,0.291934
192,2,121.479600,24.784500,8546.853800,70.520400,56.094800,0.632706,0.129086,0.231848,0.367294,0.292160
193,2,122.301900,24.926900,8604.203600,70.698100,56.264400,0.633689,0.129155,0.230992,0.366311,0.291525
194,2,122.887000,25.032100,8701.526700,71.113000,56.568500,0.633438,0.129031,0.231202,0.366562,0.291590
195,2,123.484100,25.214100,8792.914900,71.515900,56.960000,0.633252,0.129303,0.231240,0.366748,0.292103
196,2,124.088400,25.316000,8890.596000,71.911600,57.217300,0.633104,0.129163,0.231430,0.366896,0.291925
197,2,124.717200,25.494900,8984.166800,72.282800,57.563300,0.633082,0.129416,0.231497,0.366918,0.292199
198,2,125.322200,25.588200,9079.059800,72.677800,57.854900,0.632940,0.129233,0.231585,0.367060,0.292196
199,2,125.959000,25.710600,9169.766100,73.041000,58.147000,0.632960,0.129199,0.231554,0.367040,0.292196
200,2,126.645000,25.863300,9253.570800,73.355000,58.381900,0.633225,0.129317,0.231339,0.366775,0.291910
201,2,127.266000,25.921500,9346.732800,73.734000,58.669700,0.633164,0.128963,0.231349,0.366836,0.291889
202,2,127.874700,26.151500,9446.547200,74.125300,58.993700,0.633043,0.129463,0.231510,0.366957,0.292048
203,2,128.533000,26.244100,9536.369100,74.467000,59.223300,0.633167,0.129281,0.231415,0.366833,0.291740
204,2,129.138400,26.416000,9635.024900,74.861600,59.665400,0.633031,0.129490,0.231522,0.366969,0.292477
205,2,129.804200,26.459200,9719.749500,75.195800,59.802200,0.633191,0.129069,0.231285,0.366809,0.291718
206,2,130.412900,26.633700,9822.982800,75.587100,60.169600,0.633072,0.129290,0.231478,0.366928,0.292085
207,2,131.062400,26.767800,9914.215300,75.937600,60.471600,0.633152,0.129313,0.231376,0.366848,0.292133
208,2,131.670700,26.922500,10017.544200,76.329300,60.783900,0.633032,0.129435,0.231545,0.366968,0.292230
209,2,132.364500,27.073400,10103.795600,76.635500,61.007600,0.633323,0.129538,0.231309,0.366677,0.291902
210,2,132.947300,27.105000,10210.912900,77.052700,61.296200,0.633082,0.129071,0.231540,0.366918,0.291887
211,2,133.604000,27.253800,10304.253000,77.396000,61.603200,0.633194,0.129165,0.231447,0.366806,0.291958
212,2,134.167900,27.471000,10412.402900,77.832100,61.957800,0.632867,0.129580,0.231675,0.367133,0.292254
213,2,134.908500,27.552000,10492.899400,78.091500,62.159500,0.633373,0.129352,0.231279,0.366627,0.291829
214,2,135.537800,27.652400,10588.158000,78.462200,62.436800,0.633354,0.129217,0.231203,0.366646,0.291761
215,2,136.043800,27.757000,10712.991500,78.956200,62.775700,0.632762,0.129102,0.231758,0.367238,0.291980
216,2,136.670500,27.959500,10816.952600,79.329500,63.140200,0.632734,0.129442,0.231845,0.367266,0.292316
217,2,137.347200,28.008000,10906.323900,79.652800,63.399900,0.632936,0.129069,0.231611,0.367064,0.292165
218,2,137.975200,28.180000,11007.987400,80.024800,63.666000,0.632914,0.129266,0.231630,0.367086,0.292046
219,2,138.614100,28.266400,11109.132300,80.385900,64.005700,0.632941,0.129070,0.231628,0.367059,0.292263
220,2,139.312200,28.438900,11199.325800,80.687800,64.213800,0.633237,0.129268,0.231391,0.366763,0.291881
221,2,139.874400,28.556300,11308.946200,81.125600,64.548100,0.632916,0.129214,0.231546,0.367084,0.292073
222,2,140.533200,28.678100,11409.538600,81.466800,64.831600,0.633032,0.129181,0.231506,0.366968,0.292034
223,2,141.156600,28.839200,11516.293400,81.843400,65.101100,0.632989,0.129324,0.231581,0.367011,0.291933
224,2,141.763700,28.911000,11619.377400,82.236300,65.395200,0.632874,0.129067,0.231572,0.367126,0.291943
225,2,142.466500,29.172000,11711.962000,82.533500,65.747100,0.633184,0.129653,0.231347,0.366816,0.292209
226,2,143.046600,29.169300,11825.772700,82.953400,65.968300,0.632950,0.129068,0.231533,0.367050,0.291895
227,2,143.677500,29.294500,11931.261900,83.322500,66.267800,0.632941,0.129051,0.231545,0.367059,0.291929
228,2,144.230700,29.503300,12052.989500,83.769300,66.639900,0.632591,0.129400,0.231860,0.367409,0.292280
229,2,144.943200,29.609200,12145.125700,84.056800,66.892000,0.632940,0.129298,0.231596,0.367060,0.292105
230,2,145.561900,29.664700,12253.900200,84.438100,67.078800,0.632878,0.128977,0.231643,0.367122,0.291647
231,2,146.184100,29.891700,12361.316300,84.815900,67.499400,0.632832,0.129401,0.231655,0.367168,0.292205
232,2,146.835400,30.005500,12466.646200,85.164600,67.735000,0.632911,0.129334,0.231619,0.367089,0.291961
233,2,147.485900,30.087000,12569.223500,85.514100,68.068700,0.632987,0.129129,0.231524,0.367013,0.292140
234,2,148.064100,30.259400,12690.087000,85.935900,68.422200,0.632753,0.129314,0.231757,0.367247,0.292403
235,2,148.781800,30.339500,12777.267200,86.218200,68.568400,0.633114,0.129104,0.231367,0.366886,0.291780
236,2,149.448900,30.495400,12883.673000,86.551100,68.830300,0.633258,0.129218,0.231321,0.366742,0.291654
237,2,149.924200,30.641300,13031.979100,87.075800,69.237500,0.632592,0.129288,0.232014,0.367408,0.292141
238,2,150.546500,30.782800,13135.964100,87.453500,69.571400,0.632548,0.129339,0.231904,0.367452,0.292317
239,2,151.287200,30.929600,13232.681900,87.712800,69.761000,0.633001,0.129413,0.231661,0.366999,0.291887
240,2,151.842300,31.007500,13357.577600,88.157700,70.146300,0.632676,0.129198,0.231902,0.367324,0.292276
241,2,152.543800,31.176000,13456.254000,88.456200,70.336200,0.632962,0.129361,0.231681,0.367038,0.291851
242,2,153.250800,31.295500,13549.865700,88.749200,70.625000,0.633268,0.129320,0.231369,0.366732,0.291839
243,2,153.856300,31.475200,13671.946700,89.143700,70.929700,0.633153,0.129528,0.231536,0.366847,0.291892
244,2,154.430700,31.519900,13791.584200,89.569300,71.278900,0.632913,0.129180,0.231651,0.367087,0.292127
245,2,155.122500,31.795500,13898.628400,89.877500,71.522800,0.633153,0.129778,0.231547,0.366847,0.291930
246,2,155.697500,31.792900,14022.955800,90.302500,71.827200,0.632917,0.129239,0.231723,0.367083,0.291980
247,2,156.276000,31.990700,14143.533300,90.724000,72.157200,0.632696,0.129517,0.231827,0.367304,0.292134
248,2,156.982000,32.103900,14240.201600,91.018000,72.439600,0.632992,0.129451,0.231533,0.367008,0.292095
249,2,157.631200,32.116500,14359.259800,91.368800,72.670800,0.633057,0.128982,0.231597,0.366943,0.291851
